ID_NAME_PAIR,NUM_REGISTERED_VOTERS
"('690205', 'DULUTH P-13')",1713
"('191260', 'BURNSVILLE P-06')",2204
"('510085', 'LAKE SARAH TWP')",265
"('140045', 'EGLON TWP')",393
"('272360', 'ORONO P-02')",769
"('620570', 'ST. PAUL W-1 P-04')",1270
"('530150', 'WORTHINGTON W-1 P-1')",528
"('650100', 'HECTOR TWP.')",125
"('490080', 'GRANITE TOWNSHIP')",277
"('30035', 'CARSONVILLE TWP')",133
"('180145', 'GARRISON CITY')",104
"('700094', 'PRIOR LAKE P-6B')",1302
"('450240', 'THIEF LAKE TWP.')",28
"('272450', 'PLYMOUTH W-2 P-11')",1574
"('580200', 'ROCK CREEK')",945
"('770025', 'BROWERVILLE')",381
"('70210', 'MEDO TWP')",203
"('620230', 'MAPLEWOOD P-11')",1361
"('710025', 'BIG LAKE TWP P1')",1588
"('191270', 'BURNSVILLE P-07')",1891
"('540115', 'PLEASANT VIEW TWP.')",71
"('192410', 'HAMPTON CITY')",391
"('40135', 'LANGOR TWP')",116
"('550204', 'ROCHESTER W6 P6')",782
"('192980', 'LAKEVILLE P-08')",1882
"('580145', 'NEW DOSEY TWP.')",41
"('720050', 'GRAFTON TWP.')",145
"('860060', 'COKATO TWP')",778
"('621050', 'ST. PAUL W-4 P-06')",1773
"('271860', 'MINNEAPOLIS W-11 P-01')",1647
"('460155', 'PLEASANT PRAIRIE TWP.')",137
"('20605', 'CENTERVILLE P-1')",2501
"('690220', 'DULUTH P-16')",2315
"('870080', 'HAZEL RUN TWP')",129
"('640145', 'SHERIDAN TWP.')",127
"('580210', 'SANDSTONE')",661
"('110120', 'HIRAM TWP')",284
"('90165', 'THOMSON TWP')",3318
"('870130', 'SANDNES TWP')",130
"('680115', 'MORANVILLE TOWNSHIP')",529
"('210035', 'BELLE RIVER TWP.')",236
"('450290', 'WEST VALLEY TWP.')",71
"('430145', 'WINSTED CITY')",1277
"('10260', 'NW AITKIN UNORG P-2')",94
"('621300', 'ST. PAUL W-6 P-02')",1269
"('640080', 'MORGAN')",539
"('630080', 'RED LAKE FALLS TWP P-N')",76
"('750065', 'MOORE TWP.')",120
"('690770', 'LAKEWOOD TWP.')",1480
"('272195', 'MINNETONKA W-4 P-C')",1649
"('271765', 'MINNEAPOLIS W-9 P-04')",1414
"('272205', 'MINNETONKA W-4 P-E')",1406
"('271655', 'MINNEAPOLIS W-7 P-03')",2522
"('270725', 'EDEN PRAIRIE P-08')",1444
"('580160', 'OGEMA TWP.')",151
"('272300', 'NEW HOPE P-03')",1757
"('540135', 'SPRING CREEK TWP.')",32
"('691001', 'UNORG. PRCT. 19')",92
"('730385', 'ST JOSEPH P2')",2228
"('150115', 'SHEVLIN CITY')",76
"('730435', 'SPRING HILL TWP')",239
"('820345', 'STILLWATER W-4 P-8')",1274
"('40010', 'BATTLE TWP')",23
"('770115', 'LITTLE ELK TWP')",175
"('100050', 'CHASKA W-3')",3306
"('620820', 'ST. PAUL W-2 P-15')",2626
"('800025', 'HUNTERSVILLE TWP')",67
"('760090', 'KERKHOVEN')",432
"('640105', 'PAXTON TWP.')",361
"('610080', 'LEVEN TWP.')",369
"('450060', 'DONNELLY TWP.')",11
"('600445', 'WINGER')",93
"('810100', 'WASECA W-3 P-A')",369
"('390055', '0055 - 3-B WILLIAMS CITY')",77
"('271305', 'MAPLE GROVE P-24')",869
"('730205', 'OAK TWP')",376
"('193210', 'MARSHAN TWP')",797
"('620270', 'MAPLEWOOD P-15')",2518
"('650040', 'BUFFALO LAKE')",316
"('730442', 'WAITE PARK P3')",486
"('170085', 'MOUNTAIN LAKE TWP')",146
"('620590', 'ST. PAUL W-1 P-06')",2654
